,institution,program,degree,season,admission_status,admission_via,admission_date,ST,Date_added,notes,Undergrad_GPA,GRE_V,GRE_Q,GRE_W,GRE_sub
1080,Columbia University,Statistics,Masters,F19,Rejected,Website,26 Mar 2019,U,25 Mar 2019,"TTPB: From what I heard, internship/full-time placement rates for columbia statistics are not bad partly due to the program's location.",,,,,
1081,University Of Chicago,Statistics,PhD,F19,Rejected,Website,12 Mar 2019,A,25 Mar 2019,,3.9,165.0,164.0,5.0,
1082,University Of Washington,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,A,25 Mar 2019,,3.9,165.0,164.0,5.0,
1083,Columbia University,Statistics,Masters,F19,Accepted,Website,22 Mar 2019,A,25 Mar 2019,,,,,,
1084,University Of North Carolina Chapel Hill (UNC),Statistics And Operations Research (STOR),PhD,F19,Other,Phone,13 Mar 2019,A,25 Mar 2019,"I was told on the phone that the first wave of acceptances have been sent out, and that they will send the second wave soon (as of last week) given the number of declines they receive. I'm not sure if they've sent any rejections out, so they might cut people as they send the second wave?",,,,,
1085,UC Berkeley,Statistics,Masters,F19,Accepted,E-mail,5 Mar 2019,A,25 Mar 2019,,3.9,160.0,170.0,5.0,79.0
1086,"University Of Californa, Los Angeles (UCLA)",Statistics,PhD,F19,Wait listed,E-mail,25 Mar 2019,I,25 Mar 2019,Please reject if you're not going,,,,,
1087,Northwestern University,Statistics,PhD,F19,Wait listed,Phone,22 Mar 2019,U,24 Mar 2019,"For people who have the offer from NW, please try to decline early if you have better offers. I know it's not easy to say no but you can only attend one program. Thank you!",,,,,
1088,Harvard Graduate School Of Arts And Sciences,Statistics,PhD,F19,Accepted,E-mail,21 Feb 2019,I,24 Mar 2019,"Any international student who have accepted the offer from Harvard Stat/Harvard GSAS,  could you please contact me by zkdgyly(at)163.com? Thank you very much. I have some difficulties in filling in ""Financial Certification Form for Student Visa Sponsorship"".",,,,,
1089,North Carolina State University,Statistics,Masters,F19,Accepted,E-mail,20 Mar 2019,U,24 Mar 2019,,,,,,
1090,UC RIVERSIDE,Statistics,Masters,F19,Accepted,E-mail,22 Mar 2019,U,24 Mar 2019,,,,,,
1091,University Of Toronto,Statistics,PhD,F19,Other,Other,23 Mar 2019,I,23 Mar 2019,"To the post below; would you please tell us about your application more, such as GPA and work experience,...",,,,,
1092,Oxford University,Statistics,PhD,F19,Accepted,E-mail,22 Mar 2019,I,23 Mar 2019,DPhil in Modern Statistics and Machine Learning,4.0,0.0,167.0,0.0,
1093,"University Of Californa, Los Angeles (UCLA)",Statistics,PhD,F19,Wait listed,E-mail,23 Mar 2019,U,22 Mar 2019,"Anyone who had better offers than this school, could you please withdraw the offer of this one? This is my dream school, I really love the research of professors there. Great thanks!!!!",,,,,
1094,"University Of California, Los Angeles",Statistics,PhD,F19,Wait listed,E-mail,22 Mar 2019,U,22 Mar 2019,"Dream school, if you're not planning to go please reject the offer! Thank you",,,,,
1095,Wharton - University Of Pennsylvania,Statistics,PhD,F19,Rejected,Website,22 Mar 2019,,22 Mar 2019,,,,,,
1096,"University Of Nevada, Reno",Statistics And Data Science,PhD,F19,Accepted,E-mail,21 Mar 2019,I,22 Mar 2019,,3.78,146.0,164.0,3.0,
1097,University Of Pennsylvania,Statistics,PhD,F19,Rejected,E-mail,22 Mar 2019,A,22 Mar 2019,,3.91,166.0,162.0,5.5,
1098,"University Of Californa, Los Angeles (UCLA)",Statistics,Masters,F19,Rejected,Website,22 Mar 2019,I,22 Mar 2019,,,,,,
1099,Johns Hopkins University,Applied Mathematics And Statistics,Masters,F19,Rejected,Website,22 Mar 2019,I,22 Mar 2019,,,,,,
1100,University Of Michigan,Statistics,PhD,F19,Other,Other,22 Mar 2019,,22 Mar 2019,To the Michigan Statistics PhD poster below: Thank you so much for your kindness. Best wishes to all of us!,,,,,
1101,University Of Michigan,Statistics,PhD,F19,Other,Other,22 Mar 2019,A,22 Mar 2019,"To the poster below, there were around 15 at the visit day. Best of luck!",,,,,
1102,"University Of Californa, Los Angeles (UCLA)",Statistics,Masters,F19,Accepted,E-mail,21 Mar 2019,A,21 Mar 2019,,,,,,
1103,NYU Steinhardt,Applied Statistics For Social Science Research,Masters,F19,Accepted,E-mail,6 Mar 2019,,21 Mar 2019,Received financial aid info on 3/21/19. Workstudy ($3k) and the rest in loans for year 1.,,,,,
1104,UC RIVERSIDE,Statistics,Masters,F19,Accepted,E-mail,21 Mar 2019,A,21 Mar 2019,,,,,,
1105,University Of Toronto,Statistics,PhD,F19,Accepted,E-mail,21 Mar 2019,I,21 Mar 2019,"Canadian applicant with bachelor and master's degrees from Canadian universities. SGS website status changed to ""decision made"" on March 19, but only received official email today. Took the general GRE but did not submit scores to Toronto.",,,,,
1106,University Of Toronto,Statistics,PhD,F19,Other,Other,21 Mar 2019,,21 Mar 2019,,,,,,
1107,Johns Hopkins University,Statistics,PhD,F19,Other,Other,21 Mar 2019,,21 Mar 2019,Wanted to ask the same; does anyone have any info regarding the PhD admissions? Thanks!,,,,,
1108,Duke University,Statistics,Masters,F19,Rejected,E-mail,18 Mar 2019,U,21 Mar 2019,WTH with Duke's Master in statistical science?! I get accepted by Stanford's MS in STAT. But rejected by Duke? Are you kidding me?????,,,,,
1109,Loyola University Chicago,Applied Statistics,Masters,F19,Accepted,E-mail,20 Mar 2019,A,21 Mar 2019,Received degree from top tier public university in a different field. Took a couple of math courses after graduation and received straight A's in those courses. Missed funding deadline since all my materials were not submitted on time.,3.46,151.0,153.0,4.0,
1110,Florida State University (FSU),Statistics,PhD,F19,Accepted,E-mail,21 Mar 2019,U,21 Mar 2019,"I dont think this is a legit offer, because it explicitly mentions that there would be no funding whatsoever. Maybe TA opportunity if ranked top 10 of the students admitted without funding, but even if you are ranked top 10, the TA is not guaranteed. I don't think anyone would accept such an offer. At least I won't, and I don't get the mentality of people who do want to accept this offer. To me, it looks like FSU is trying to grab money from people by expanding the graduate team and not be responsible for the actual quality of study the students receive.",,,,,
1111,Virginia Tech,Statistics,PhD,F19,Accepted,E-mail,18 Mar 2019,U,21 Mar 2019,First year without funding.,,161.0,167.0,4.0,
1112,Florida State University (FSU),Statistics,Masters,F19,Accepted,E-mail,20 Mar 2019,U,21 Mar 2019,No funding at all,3.32,149.0,162.0,3.5,
1113,University Of Maryland Baltimore County,Statistics,PhD,F19,Accepted,E-mail,21 Mar 2019,A,21 Mar 2019,"4 years of research experience outside of statistics, but the program seems to really have appreciated that based on earlier communications. No word on assistantships yet",3.37,160.0,166.0,4.0,
1114,UMass-Amherst,Statistics,PhD,F19,Other,Other,21 Mar 2019,A,21 Mar 2019,Still under review,,,,,
1115,University Of Michigan,Statistics,PhD,F19,Other,Other,21 Mar 2019,,21 Mar 2019,To the Michigan Statistics PhD Poster Below: Thank you so much for your message and could you tell us how many people attended the weekend?,,,,,
1116,University Of Michigan,Statistics,PhD,F19,Other,Other,21 Mar 2019,A,21 Mar 2019,"I did attend Michigan's visit day. Unfortunately, I don't know anything about the waitlist, but they did encourage us to notify them of our decisions as soon as possible. I will be making mine within a week.",,,,,
1117,Florida State University (FSU),Statistics,PhD,F19,Accepted,E-mail,21 Mar 2019,U,20 Mar 2019,,,,,,
1118,Northwestern University,Statistics,PhD,F19,Rejected,Website,20 Mar 2019,U,20 Mar 2019,,,,,,
1119,Johns Hopkins University,Statistics,PhD,F19,Other,Other,20 Mar 2019,O,20 Mar 2019,Does anyone get offer form their PhD program?  It's pretty late even given they usually send out results in mid-March.,,,,,
1120,University Of Toronto,Statistics,PhD,F19,Accepted,E-mail,20 Mar 2019,O,20 Mar 2019,Got accepted after status changed to Decision made. 2nd round of offers will be made over the course of the next 2 weeks.,,,,,
1121,University Of Michigan,Statistics,PhD,F19,Other,E-mail,20 Mar 2019,O,20 Mar 2019,"Just got a reply from the admission, saying that they are still viewing applications. What a pity!",,,,,
1122,University Of Michigan,Statistics,PhD,F19,Other,Other,20 Mar 2019,,20 Mar 2019,"TTPB since you got better offers, will you kindly withdraw?",,,,,
1123,University Of Michigan,Statistics,PhD,F19,Other,Other,20 Mar 2019,A,20 Mar 2019,Not sure what they are doing. A complex application process and a slow decision-making process. How inefficient it is! No more wait since got better offers.,,,,,
1124,University Of New Mexico,Statistics,PhD,F19,Accepted,E-mail,27 Feb 2019,U,20 Mar 2019,"Accepted on February 27 without TA offer. If someone is planning to decline the offer, please decline ASAP.",,,,,
1125,Colorado State University,Statistics,PhD,F19,Rejected,E-mail,20 Mar 2019,A,20 Mar 2019,,,,,,
1126,University Of Michigan,Statistics,PhD,F19,Wait listed,Other,20 Mar 2019,A,20 Mar 2019,If you are NOT planning on attending please decline the offer so others may attend. Thanks!!,,,,,
1127,"University Of Nevada, Reno",Statistics,PhD,F19,Rejected,E-mail,20 Mar 2019,U,20 Mar 2019,,,,,,
1128,University Of Michigan,Statistics,PhD,F19,Other,Other,20 Mar 2019,,19 Mar 2019,To the Michigan Statistics PhD Program poster below: Thank you for your kindness to provide us with the information. Could you please briefly tell us whether you attend the weekend and the situation?,,,,,
1129,University Of Virginia,Statistics,Masters,F19,Wait listed,Website,19 Mar 2019,U,19 Mar 2019,"Got an email to log in to my status page to check the application update.

If you are admitted but won’t go to UVA, please reject the offer asap! PLEASE!",,,,,
1130,Colorado State University,Statistics,PhD,F19,Other,Website,19 Mar 2019,A,19 Mar 2019,"Checked website. Found the message: ""Your department has recommended a decision to the Graduate School. You will receive a final decision within two weeks.""",,,,,
1131,University Of Wisconsin - Madison,Statistics,PhD,F19,Other,Other,19 Mar 2019,A,19 Mar 2019,Does anyone know what's going on with UWM? Haven't heard anything from the admission since January,,,,,
1132,University Of Michigan,Statistics,PhD,F19,Other,Other,19 Mar 2019,A,19 Mar 2019,Michigan's visit weekend was last weekend. I imagine that they are waiting to make a second round of offers after some people decline.,,,,,
1133,Baylor University,Statistics,PhD,F19,Accepted,E-mail,19 Mar 2019,U,19 Mar 2019,"Received an email notification from the program director. with Tuition remission and TA stipend.  It seems to me that all the professors there are really nice. Everyone responded to my email promptly even before I applied to the program, which is not always the case for many other programs I applied to. And they are more than helpful when I have some special requests. Very likely to accept the offer for the nice faculty.",,,,,
1134,Regina,Statistics,Masters,F19,Accepted,E-mail,9 Mar 2019,I,19 Mar 2019,"GPA is grad, 12k funding",,,,,
1135,Florida State University (FSU),Statistics,Masters,F19,Other,Other,19 Mar 2019,O,19 Mar 2019,Anyone hear anything for the MS degree? Seen some PhD results but nothing for MS,,,,,
1136,Johns Hopkins University,Statistics,Masters,F19,Accepted,E-mail,18 Mar 2019,U,19 Mar 2019,,,,,,
1137,University Of Virginia,Statistics,Masters,F19,Wait listed,Website,18 Mar 2019,I,19 Mar 2019,Please decline it if you don't want to go! My dream offer! Thank you so much!!!!,,,,,
1138,University Of Michigan,Statistics,PhD,F19,Other,Other,19 Mar 2019,I,19 Mar 2019,"To the post below: same situation here. No interview, no offer, no rejection. Should I wait?",,,,,
1139,North Carolina State University,Statistics,Masters,F19,Accepted,E-mail,18 Mar 2019,U,19 Mar 2019,Feel that glad to be admitted to this program !!!! :),3.32,149.0,162.0,3.5,
1140,University Of Nevada Reno,Statistics,PhD,F19,Other,Other,19 Mar 2019,I,19 Mar 2019,"To the statistics (PhD) post below, have you tried contacting the graduate school coordinator? Did you apply for the stats and data science program too? If so what are your stats?",,,,,
1141,Ohio State University,Statistics,PhD,F19,Accepted,E-mail,15 Mar 2019,I,18 Mar 2019,,3.92,152.0,170.0,3.5,
1142,"University Of California, Davis",Statistics,PhD,F19,Rejected,E-mail,19 Mar 2019,I,18 Mar 2019,"Please let me know by Monday, March 25th, if you are interested in being considered for admission to the MS program.",3.92,152.0,170.0,3.5,
1143,University College London (UCL),Computational Statistics And Machine Learning,Masters,F19,Rejected,Website,19 Mar 2019,O,18 Mar 2019,,,,,,
1144,University Of Michigan,Statistics,PhD,F19,Other,Other,18 Mar 2019,O,18 Mar 2019,Anyone heard back recently from the program? Or those admitted ones who can tell us when is the visiting weekend? Thank you so much!,,,,,
1145,"University Of Nevada, Reno",Statistics,PhD,F19,Other,Other,18 Mar 2019,A,18 Mar 2019,Haven't heard anything from this school. Have people heard back?,,,,,
1146,"University Of California, Davis",Statistics,PhD,F19,Rejected,E-mail,18 Mar 2019,U,18 Mar 2019,Asked if I am interested in being considered for the master program.,4.0,144.0,162.0,4.5,
1147,"University Of California, Davis",Statistics,PhD,F19,Rejected,E-mail,18 Mar 2019,I,18 Mar 2019,,,,,,
1148,Columbia University,Statistics,Masters,F19,Other,Other,18 Mar 2019,,18 Mar 2019,Does anyone have any feedback on this program? All I am hearing is that it is a cash cow for them and meant for rich Chinese students. Most of the graduates remain jobless. The admission process is not at all competitive. Am I missing something?,,,,,
1149,University Of Georgia,Statistics,Masters,F19,Other,Other,18 Mar 2019,O,18 Mar 2019,"Don't apply to this program. They will send out a couple of UNFUNDED offers to a few PhD applicants, and completely IGNORES the rest of the application pools. You'd think you deserve better since you've paid the application fee, but nope, you're nothing but an otherwise worthless cash cow to them.",3.71,162.0,167.0,3.5,
1150,Duke University,Statistics,Masters,F19,Wait listed,Website,18 Mar 2019,O,18 Mar 2019,Please decline it if you don't want to go! My dream offer! Many thanks!!!!,,,,,
1151,NCSU (North Carolina State University),Statistics,Masters,F19,Other,Other,18 Mar 2019,O,18 Mar 2019,Anyone still waiting for Statistics master decision?,,,,,
1152,Duke University,Statistics,Masters,F19,Rejected,Website,18 Mar 2019,U,18 Mar 2019,,3.9,160.0,170.0,0.0,
1153,Duke University,Statistics,Masters,F19,Rejected,Website,18 Mar 2019,U,18 Mar 2019,,,,,,
1154,"University Of California, Berkeley",Statistics,Masters,F19,Accepted,E-mail,5 Mar 2019,A,18 Mar 2019,,3.5,162.0,166.0,6.0,
1155,"University Of California, Davis",Statistics,PhD,F19,Accepted,E-mail,15 Mar 2019,I,17 Mar 2019,Date of notification error in previous post,,,,,
1156,"University Of California, Davis",Statistics,PhD,F19,Accepted,E-mail,18 Mar 2019,I,17 Mar 2019,,,,,,
1157,"University Of Massachusetts, Amherst",Statistics,PhD,F19,Other,E-mail,17 Mar 2019,A,17 Mar 2019,"Asked for my unofficial transcript, I applied for PhD and Masters, so while My heart says PhD my GPA says masters",3.37,160.0,166.0,4.0,
1158,University Of Washington,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,A,17 Mar 2019,,3.91,166.0,162.0,5.5,
1159,UC RIVERSIDE,Statistics,PhD,F19,Rejected,E-mail,15 Mar 2019,U,17 Mar 2019,,,,,,
1160,University Of Minnesota,Statistics,PhD,F19,Other,Other,16 Mar 2019,O,16 Mar 2019,are there people who have not yet heard back from this program?,,,,,
1161,UC RIVERSIDE,Applied Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,,15 Mar 2019,,,,,,
1162,University Of New Mexico,Statistics,PhD,F19,Accepted,E-mail,27 Feb 2019,A,15 Mar 2019,"Accepted, but waiting to hear back if received Assistantship",,,,,
1163,University Of Chicago,Statistics,PhD,F19,Other,Other,15 Mar 2019,O,15 Mar 2019,Any current undergrads at UChicago that haven't heard back from the Ph.D. program yet? I'm currently in this situation...,3.95,168.0,168.0,5.0,800.0
1164,Stony Brook University (SUNY),Applied Mathematics With Statistics And Quantitative Finance Concentration,Masters,F19,Accepted,E-mail,15 Mar 2019,U,15 Mar 2019,,3.35,147.0,170.0,4.0,820.0
1165,University Of Michigan,Applied Statistics,Masters,F19,Other,Other,15 Mar 2019,,15 Mar 2019,"To the poster below: Thanks for getting back to me, I was waitlisted on March 6th as well, good luck with everything too!",,,,,
1166,University Of Michigan,Applied Statistics,Masters,F19,Wait listed,E-mail,6 Mar 2019,,15 Mar 2019,"To the poster below, I was notified last week but forgot to submit my result here (and forgot to put on the right date of notification, my bad.) Good luck!",,,,,
1167,"University Of California, Los Angeles",Statistics,Masters,F19,Accepted,E-mail,15 Mar 2019,A,15 Mar 2019,Email to check website. Alma mater. Not sure if I will attend yet.,3.66,168.0,165.0,5.0,
1168,McGill University,Statistics,Masters,F19,Rejected,E-mail,1 Feb 2019,O,15 Mar 2019,"Canadian undergrad in honours psychology. 3.5 overall GPA but did really well in stats courses (A+ in research methods, intro, and advanced). It was a stretch. Received an e-mail to check portal.",,,,,
1169,University Of Chicago,Statistics,PhD,F19,Rejected,Website,12 Mar 2019,I,15 Mar 2019,,3.92,170.0,170.0,5.0,880.0
1170,Columbia University,Statistics,PhD,F19,Rejected,Website,14 Mar 2019,I,15 Mar 2019,,3.92,170.0,170.0,5.0,880.0
1171,UC Davis,Statistics,PhD,F19,Accepted,E-mail,14 Mar 2019,I,15 Mar 2019,,,,,,
1172,NYU Stern,Statistics,PhD,F19,Rejected,E-mail,13 Mar 2019,I,15 Mar 2019,,,,,,
1173,University Of Michigan,Statistics,PhD,S19,Other,Other,15 Mar 2019,O,14 Mar 2019,Anyone got any news from UMich? Still nothing for me...,,,,,
1174,Columbia University,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,A,14 Mar 2019,,4.0,166.0,170.0,4.5,
1175,University Of Virginia,Statistics,Masters,F19,Wait listed,Website,14 Mar 2019,U,14 Mar 2019,Please reject your offer if you're not going..,3.35,147.0,170.0,4.0,820.0
1176,Columbia University,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,I,14 Mar 2019,,,161.0,170.0,3.0,910.0
1177,University Of Michigan,Applied Statistics,Masters,F19,Other,Other,14 Mar 2019,O,14 Mar 2019,"To the poster who was waitlisted at U of M applied stats masters, were you notified via email today Mar 14th, or last week?
Thanks
",,,,,
1178,Columbia University,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,I,14 Mar 2019,Application has been forwarded to the Masters admissions committee since I had requested an alternate consideration.,,,,,
1179,University Of Washington,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,U,14 Mar 2019,"lol, 2nd rej in an hour.",3.97,164.0,170.0,4.5,88.0
1180,University Of Michigan,Applied Statistics,Masters,F19,Wait listed,E-mail,14 Mar 2019,,14 Mar 2019,I declined that. Good luck to everyone else on the list!,,,,,
1181,Columbia University,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,U,14 Mar 2019,expected,3.97,164.0,170.0,4.5,88.0
1182,Columbia University,Statistics,PhD,F19,Rejected,Website,14 Mar 2019,U,14 Mar 2019,Emailed to check the website,,,,,
1183,Columbia University,Statistics,PhD,F19,Rejected,Website,14 Mar 2019,A,14 Mar 2019,"Email to check website.  This is effectively my last decision notification, so I'm off to work on my decision! --Roadrunner",3.8,168.0,170.0,5.5,
1184,Columbia University,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,I,14 Mar 2019,,,,,,
1185,NYU Stern,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,I,14 Mar 2019,TTPB: Their loss!,,,,,
1186,McGill University,Statistics,Other,F19,Other,Other,14 Mar 2019,I,13 Mar 2019,"Does anyone have any news about this program（MS/Ph.D. in Statistics）from department of math & stat ?  I have sent email to the department and they say it's a rolling basis. So if anyone received news from this program but will not come, I really hope that you could decline it early because I really really want to attend this program. Thank you!",,,,,
1187,University Of Chicago,Statistics,PhD,F19,Rejected,E-mail,13 Mar 2019,I,13 Mar 2019,,,,,,
1188,NYU Stern,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,,13 Mar 2019,Their loss.,,,,,
1189,New York University,Statistics,PhD,F19,Rejected,E-mail,14 Mar 2019,I,13 Mar 2019,not surprised.,3.92,152.0,170.0,3.5,
1190,Columbia University,Statistics,Masters,F19,Accepted,Website,13 Mar 2019,U,13 Mar 2019,,3.73,155.0,170.0,4.0,
1191,Texas A & M University (TAMU),Statistics,PhD,F19,Accepted,E-mail,13 Mar 2019,,13 Mar 2019,,,,,,
1192,Florida State University (FSU),Statistics,PhD,F19,Accepted,E-mail,13 Mar 2019,A,13 Mar 2019,,3.46,161.0,170.0,4.5,
1193,Texas A&M University,Statistics,PhD,F19,Other,E-mail,13 Mar 2019,I,13 Mar 2019,"To the posters below, I have been admitted to top schools and unofficially accepted to TAMU by a prof, but no official notification yet. Heard that there are significant delays in their process. Wait a few more weeks if you can.",,,,,
1194,York University (Canada),Mathematics And Statistics,Masters,F19,Accepted,Website,13 Mar 2019,O,13 Mar 2019,"Canadian student, undergrad in Statistics also from York, notified on the portal that I was admitted, did not receive any email.",,,,,
1195,NYU Stern,Statistics,PhD,F19,Rejected,E-mail,13 Mar 2019,I,13 Mar 2019,Email to check website.,,0.0,160.0,0.0,
1196,Georgia State,Mathematics With Statistics Concentration,Masters,F19,Accepted,E-mail,13 Mar 2019,U,13 Mar 2019,"With your admission, a graduate assistantship has also been awarded*. This includes an annual stipend in the amount of $10,000 and waived tuition, leaving your responsible for the cost of mandatory student fees and health insurance. Continued support is contingent upon remaining in good academic standing and on maintaining satisfactory progress towards the degree as determined by your department",,,,,
1197,New York University ( NYU),Statistics,PhD,F19,Rejected,Website,13 Mar 2019,U,13 Mar 2019,,,,,,
1198,Columbia University,Statistics,Masters,F19,Other,Other,13 Mar 2019,,13 Mar 2019,Were any of you people admitted applying to the hybrid program?,,,,,
1199,North Carolina State University (NCSU),Statistics,PhD,F19,Accepted,E-mail,13 Mar 2019,U,13 Mar 2019,off waitlist today! so excited,,,,,
1200,Columbia University,Statistics,Masters,F19,Accepted,E-mail,12 Mar 2019,I,13 Mar 2019,,,,,,
1201,University Of Chicago,Statistics,PhD,F19,Rejected,E-mail,13 Mar 2019,I,13 Mar 2019,Sad,,,,,
1202,University Of Chicago,Statistics,PhD,F19,Rejected,Website,12 Mar 2019,I,13 Mar 2019,,,,,,
1203,Texas A&M University,Statistics,PhD,F19,Other,Other,13 Mar 2019,,12 Mar 2019,"To the Texas A&M poster below: I contacted the department several times. About 2 weeks ago, they told me they would make the decisions some time in March and notify these accepted. Because I got a similar offer, I don't care it now.",,,,,
1204,Columbia University,Statistics,Masters,F19,Accepted,Website,12 Mar 2019,I,12 Mar 2019,,3.3,152.0,170.0,3.0,
1205,University Of Chicago,Statistics,PhD,F19,Rejected,E-mail,13 Mar 2019,I,12 Mar 2019,,,161.0,170.0,3.0,910.0
1206,University Of Nebraska At Lincoln,Statistics,PhD,F19,Accepted,Phone,12 Mar 2019,A,12 Mar 2019,I was accepted and offered a TAship.,3.85,156.0,161.0,4.5,
1207,NCSU (North Carolina State University),Statistics,PhD,F19,Wait listed,E-mail,6 Feb 2019,I,12 Mar 2019,,,,,,
1208,University Of Florida,Statistics,PhD,F19,Accepted,E-mail,14 Feb 2019,I,12 Mar 2019,,,152.0,168.0,4.0,
1209,Texas A & M University (TAMU),Statistics,PhD,F19,Other,E-mail,12 Mar 2019,I,12 Mar 2019,"Do you have any info about this program. I have not receive any news about it. It worries me because offers would be sent out by the end of February, and now it is March.",,,,,
1210,Ohio State University,Applied Statistics,Masters,F19,Accepted,E-mail,12 Mar 2019,A,11 Mar 2019,Email from Vice Chair for Graduate Studies at almost midnight on a Monday,3.7,159.0,167.0,5.5,
1211,University Of Washington,Statistics,PhD,F19,Accepted,E-mail,7 Mar 2019,A,11 Mar 2019,I think this is a second round offer. Interviewed in February. Visit day on 3/8. Will accept with near certainty.,4.0,166.0,170.0,4.5,
1212,University Of Oxford,Statistics,Masters,F19,Accepted,E-mail,11 Mar 2019,I,11 Mar 2019,"French top Grande Ecole, applied 9th January, some research experience",,,,,
1213,Carleton University,Statistics,Masters,F19,Accepted,E-mail,7 Mar 2019,O,11 Mar 2019,"Thesis stream. Submitted all required docu*ents mid January. Canadian citizen. Offered 34K funding between TAships, RAships, scholarships for the two years.",,,,,
1214,"University Of California, Berkeley",Statistics,PhD,F19,Rejected,E-mail,22 Feb 2019,A,11 Mar 2019,,,,,,
1215,Stanford University,Statistics,PhD,F19,Rejected,E-mail,6 Feb 2019,A,11 Mar 2019,,,,,,
1216,University Of Washington,Statistics,PhD,F19,Rejected,E-mail,14 Feb 2019,A,11 Mar 2019,,,,,,
1217,Cornell University,Statistics,PhD,F19,Wait listed,E-mail,1 Mar 2019,A,11 Mar 2019,,,,,,
1218,UIUC,Statistics,Masters,F19,Accepted,E-mail,11 Mar 2019,,11 Mar 2019,,,,,,
1219,Arizona State University,Statistics,PhD,F19,Accepted,E-mail,15 Jan 2019,A,11 Mar 2019,,,,,,
1220,"University Of California, Irvine",Statistics,PhD,F19,Accepted,E-mail,29 Jan 2019,A,11 Mar 2019,,,,,,
1221,University Of British Columbia,Statistics,Masters,F19,Rejected,E-mail,11 Mar 2019,I,11 Mar 2019,"Four years research experience, high major GPA, and very strong references. Already have a funded offer at a top 10 - not at all salty that a top 50 safety school rejected me.",,,,,
1222,University Of British Columbia,Statistics,Masters,F19,Rejected,E-mail,11 Mar 2019,U,11 Mar 2019,I had gotten better offer... Refund my application fee,,,,,
1223,Johns Hopkins University,Statistics,PhD,F19,Rejected,E-mail,10 Mar 2019,U,11 Mar 2019,,,,,,
1224,Carnegie Mellon University,Applied Statistics,Masters,F19,Rejected,Website,11 Mar 2019,U,11 Mar 2019,Good Luck!,,,,,
1225,UC Santa Cruz,Statistics,PhD,F19,Accepted,E-mail,7 Mar 2019,A,11 Mar 2019,"Applied to PhD program, accepted to masters",3.58,154.0,162.0,3.5,
1226,University Of Guelph,Statistics,Masters,F19,Accepted,E-mail,8 Mar 2019,I,11 Mar 2019,,,,,,
1227,Johns Hopkins University,Applied Mathematics And Statistics,PhD,F19,Rejected,Website,11 Mar 2019,I,11 Mar 2019,,,,,,
1228,NCSU (North Carolina State University),Statistics,PhD,F19,Other,E-mail,11 Mar 2019,I,11 Mar 2019,"We have a WeChat group of guys holding Stat PhD offers from NCSU, where we discuss the career, potential advisors and other stuff. If you also hold an offer, feel free to contact me through dalegaostat@gmail.com  
I hope we all have good luck in grad school application!",,,,,
1229,NCSU (North Carolina State University),Statistics,PhD,F19,Accepted,E-mail,1 Feb 2019,I,11 Mar 2019,,,170.0,163.0,5.0,
1230,Stanford University,Statistics,Masters,S20,Accepted,POST,11 Mar 2019,,11 Mar 2019,,,,,,
1231,Johns Hopkins University,Applied Mathematics And Statistics,PhD,F19,Rejected,E-mail,10 Mar 2019,I,10 Mar 2019,Got better offers anyway. Their loss.,,,,,
1232,Stanford University,Statistics: Data Science,Masters,F19,Accepted,E-mail,8 Mar 2019,U,10 Mar 2019,So excited!,,,,,
1233,Johns Hopkins University,Applied Mathematics And Statistics,PhD,F19,Rejected,E-mail,10 Mar 2019,U,10 Mar 2019,"Talked to POI and he said ""very good, I hope to see you in fall,"" but then after waiting for a long time, finally I got this email about my status update...very disappointed. I have 1 IEEE paper, 2 statistics posters. I am a top student in school and my department. A double major in math and computer science.",4.0,144.0,162.0,4.5,
1234,Johns Hopkins University,Applied Mathematics And Statistics,PhD,F19,Rejected,E-mail,10 Mar 2019,U,10 Mar 2019,"Talked to POI and he said ""very good, I hope to see you in fall,"" but then after waiting for a long time, finally I got this email about my status update...very disappointed. I have 1 IEEE paper, 2 statistics posters. I am a top student in school and my department. A double major in math and computer science.",4.0,144.0,162.0,4.5,
1235,Johns Hopkins University,Applied Mathematics And Statistics,PhD,F19,Rejected,Website,10 Mar 2019,A,10 Mar 2019,,,,,,
1236,Johns Hopkins University,Applied Mathematics And Statistics,PhD,F19,Rejected,Website,10 Mar 2019,A,10 Mar 2019,Email to check website,,,,,
1237,Johns Hopkins University,Statistics,PhD,F19,Rejected,E-mail,10 Mar 2019,U,10 Mar 2019,,,,,,
1238,Johns Hopkins University,Statistics,PhD,F19,Rejected,Website,10 Mar 2019,U,10 Mar 2019,email to check website,,,,,
1239,Johns Hopkins University,Statistics,PhD,F19,Rejected,Website,10 Mar 2019,A,10 Mar 2019,,,,,,
1240,McGill University,Statistics,Masters,F19,Other,Website,10 Mar 2019,I,10 Mar 2019,"Its almost 3 months, my status still says ""in-review"". Is it true if McGill takes too long to reply, it means a reject?",,,,,
